npb_name,origin_country_ja,origin_country_en,likely_origin_league,npb_first_year,first_team,player_type,position,english_name,mlb_id,npb_first_year_PA,npb_first_year_AVG,npb_first_year_OPS,npb_first_year_wOBA,npb_first_year_ERA,npb_first_year_IP,npb_first_year_WHIP
ペレス,,,Unknown,2015,,hitter,,,,10,0.0,0.1,0.0722,,,
ペーニャ,,,Unknown,2015,,hitter,,,,492,0.268,0.845,0.3938,,,
ホーキンス,,,Unknown,2023,ソフトバンク,hitter,,,,10,0.0,0.0,,,,
ボイト,,,Unknown,2025,楽天,hitter,,,,276,0.3,0.882,0.4033,,,
ボグセビック,,,Unknown,2016,,hitter,,,,193,0.187,0.601,0.2844,,,
ボス,,,Unknown,2025,ロッテ,pitcher,,,,,,,,3.96,125.0,1.26
ボスラー,,,Unknown,2025,中日,hitter,,,,493,0.261,0.742,0.3370,,,
ボルシンガー,,,Unknown,2018,ロッテ,pitcher,,,,,,,,3.06,117.2,1.22
ボーア,,,Unknown,2020,阪神,hitter,,,,379,0.243,0.76,0.3473,,,
ボー・タカハシ,ブラジル,Brazil,Independent,2022,西武,pitcher,投手,,,,,,,2.56,31.2,1.07
ポランコ,ドミニカ共和国,Dominican Republic,MLB,2022,巨人,hitter,外野手,,,484,0.24,0.762,0.3421,,,
ポレダ,,,Unknown,2015,,pitcher,,,,,,,,2.94,147.0,1.22
ポンセ,アメリカ,USA,MLB,2022,日本ハム,pitcher,投手,,,,,,,3.35,83.1,1.10
ポーリーノ,,,Unknown,2016,,pitcher,,,,,,,,4.7,44.0,1.57
マイコラス,,,Unknown,2015,,pitcher,,,,,,,,1.92,145.0,0.90
マエストリ,,,Unknown,2015,,pitcher,,,,,,,,3.19,42.1,1.42
マキノン,,,Unknown,2023,西武,hitter,,,,514,0.259,0.728,0.3338,,,
マギー,,,Unknown,2017,巨人,hitter,,,,586,0.315,0.897,0.3984,,,
マクガフ,,,Unknown,2019,ヤクルト,pitcher,,,,,,,,3.15,68.2,1.35
マクブルーム,,,Unknown,2022,広島,hitter,,,,508,0.272,0.794,0.3606,,,
マシソン,,,Unknown,2015,巨人,pitcher,,,,,,,,2.62,58.1,1.17
マチャド,ベネズエラ,Venezuela,MLB,2024,オリックス,pitcher,投手,,,,,,,2.03,53.1,1.01
マッカーシー,,,Unknown,2022,オリックス,hitter,,,,212,0.225,0.687,0.3242,,,
マテオ,,,Unknown,2016,阪神,pitcher,,,,,,,,1.8,55.0,1.16
