english_name,npb_name,origin_league,season,PA,AVG,OBP,SLG,OPS,wOBA,HR,IP,ERA,FIP,K_pct,BB_pct,WHIP
Aristides Aquino,アキーノ,MLB,2022,276,0.197,0.246,0.363,0.609,0.267,10,,,,,,
Jesús Aguilar,アギラー,MLB,2023,115,0.221,0.281,0.385,0.665,0.282,5,,,,,,
Willians Astudillo,アストゥディーヨ,MLB,2022,55,0.241,0.255,0.296,0.551,0.243,1,,,,,,
Pedro Avila,アビラ,MLB,2024,,,,,,,,82.2,3.81,3.89,23.2,10.2,1.32
Albert Abreu,アブレイユ,MLB,2023,,,,,,,,59.0,4.73,5.26,22.8,13.1,1.47
Elvis Araújo,アラウホ,MLB,2016,,,,,,,,27.1,5.60,5.01,21.6,12.7,1.90
Oswaldo Arcia,アルシア,MLB,2016,222,0.203,0.270,0.366,0.637,0.277,8,,,,,,
Andrew Albers,アルバース,MLB,2017,,,,,,,,41.0,3.51,4.13,20.8,5.6,1.29
Matt Andriese,アンドリース,MLB,2021,,,,,,,,48.1,5.21,4.04,22.5,5.9,1.61
Robbie Erlin,アーリン,MLB,2020,,,,,,,,26.2,8.10,6.23,20.5,5.7,1.50
Gabriel Ynoa,イノーア,MLB,2019,,,,,,,,110.2,5.61,6.20,14.0,5.4,1.37
Rowan Wick,ウィック,MLB,2022,,,,,,,,64.0,4.22,4.19,23.5,9.9,1.69
Aaron Wilkerson,ウィルカーソン,MLB,2019,,,,,,,,16.0,7.31,6.78,13.8,11.3,2.12
Trey Wingenter,ウィンゲンター,MLB,2023,,,,,,,,17.0,5.82,3.96,28.9,9.2,1.35
Joe Wieland,ウィーランド,MLB,2014,,,,,,,,11.1,7.15,6.49,14.8,9.3,1.85
Zelous Wheeler,ウィーラー,MLB,2014,62,0.193,0.230,0.298,0.528,0.236,2,,,,,,
J.B. Wendelken,ウェンデルケン,MLB,2022,,,,,,,,29.0,5.28,5.01,17.2,11.5,1.34
Edwin Escobar,エスコバー,MLB,2016,,,,,,,,23.2,7.23,5.94,14.7,10.3,1.90
Anderson Espinoza,エスピノーザ,MLB,2022,,,,,,,,18.1,5.40,7.15,22.4,18.8,1.64
Adeiny Hechavarria,エチェバリア,MLB,2020,63,0.254,0.302,0.305,0.607,0.271,0,,,,,,
Elian Herrera,エリアン,AAA,2015,277,0.242,0.290,0.395,0.684,0.296,7,,,,,,
Yoslan Herrera,エレラ,MLB,2014,,,,,,,,16.2,2.70,3.19,16.9,11.7,1.86
Dietrich Enns,エンス,MLB,2021,,,,,,,,22.1,2.82,2.32,28.4,6.8,1.03
Brian O'Grady,オグレディ,MLB,2021,61,0.157,0.267,0.333,0.600,0.265,2,,,,,,
