player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year
井端 弘和,98,321,269,20,63,9,0,1,75,19,3,3,10,2,37,0,3,36,4,0.234,0.279,0.331,巨人,2015
隠善 智也,3,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,巨人,2015
内海 哲也,5,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,巨人,2015
大田 泰示,60,138,130,13,36,7,0,1,46,3,3,2,0,0,7,0,1,39,0,0.277,0.354,0.319,巨人,2015
大竹 寛,11,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0.0,0.0,0.0,巨人,2015
岡本 和真,17,31,28,2,6,0,0,1,9,4,2,0,0,0,2,0,1,4,3,0.214,0.321,0.29,巨人,2015
カステヤーノス,6,22,20,2,2,1,0,0,3,1,0,0,0,0,2,0,0,11,0,0.1,0.15,0.182,巨人,2015
片岡 治大,113,411,348,42,85,13,1,10,130,36,21,9,36,0,25,0,2,36,7,0.244,0.374,0.299,巨人,2015
加藤 健,35,83,75,3,18,3,0,0,21,3,0,0,2,2,4,0,0,24,2,0.24,0.28,0.272,巨人,2015
亀井 善行,109,432,382,42,104,21,0,6,143,35,8,1,3,6,40,0,1,59,6,0.272,0.374,0.338,巨人,2015
金城 龍彦,36,95,90,9,21,3,0,1,27,10,1,0,1,0,3,0,1,11,0,0.233,0.3,0.266,巨人,2015
小林 誠司,70,204,177,13,40,6,0,2,52,13,2,0,5,0,19,1,3,39,6,0.226,0.294,0.312,巨人,2015
小山 雄輝,7,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.25,0.25,0.25,巨人,2015
坂口 真規,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,巨人,2015
坂本 勇人,130,558,479,50,129,21,3,12,192,68,10,4,9,5,65,1,0,79,5,0.269,0.401,0.353,巨人,2015
實松 一成,22,39,33,5,6,0,0,1,9,3,1,0,2,0,2,0,2,9,0,0.182,0.273,0.27,巨人,2015
澤村 拓一,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,巨人,2015
菅野 智之,25,60,53,0,4,1,1,0,7,2,0,0,6,0,0,0,1,21,0,0.075,0.132,0.093,巨人,2015
杉内 俊哉,17,28,26,1,3,0,0,0,3,2,0,0,2,0,0,0,0,9,0,0.115,0.115,0.115,巨人,2015
鈴木 尚広,65,22,17,22,5,1,0,1,9,4,10,1,2,0,2,0,1,4,0,0.294,0.529,0.4,巨人,2015
セペダ,20,28,21,1,0,0,0,0,0,1,0,0,0,0,7,0,0,6,1,0.0,0.0,0.25,巨人,2015
高木 京介,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,巨人,2015
高木 勇人,26,48,42,1,4,1,0,0,5,0,0,0,6,0,0,0,0,21,2,0.095,0.119,0.095,巨人,2015
高橋 由伸,77,158,133,11,37,5,0,5,57,21,2,0,0,1,20,0,4,39,3,0.278,0.429,0.386,巨人,2015
田口 麗斗,13,19,16,0,2,0,0,0,2,2,0,0,3,0,0,0,0,8,1,0.125,0.125,0.125,巨人,2015
