player,team,AVG,G,PA,AB,H,HR,RBI,SB,BB,HBP,SO,SH,GDP,OBP,SLG,OPS,RC27,XR27,year
大引　啓次,ヤクルト,0.225,96,347,311,70,5,41,6,27,1,56,6,5,0.287,0.338,0.625,3.19,3.24,2015
梵　英心,広島,0.237,96,332,283,67,6,27,2,36,1,49,10,6,0.323,0.36,0.683,3.89,3.93,2015
井端　弘和,巨人,0.234,98,321,269,63,1,19,3,37,3,36,10,4,0.331,0.279,0.61,3.32,3.41,2015
藤井　淳志,中日,0.295,118,315,275,81,6,45,3,23,2,69,11,4,0.349,0.415,0.763,5.24,5.21,2015
ウィーラー,楽天,0.255,91,313,274,70,14,50,1,30,6,63,0,6,0.339,0.453,0.791,5.38,5.48,2015
荻野　貴司,ロッテ,0.269,82,309,279,75,2,13,18,16,4,38,9,5,0.317,0.337,0.654,3.81,3.75,2015
今成　亮太,阪神,0.283,93,304,269,76,1,16,1,24,2,78,8,1,0.345,0.32,0.664,4.23,4.17,2015
エルドレッド,広島,0.227,79,300,264,60,19,54,1,31,1,91,0,3,0.307,0.466,0.773,4.85,5.18,2015
中村　奨吾,ロッテ,0.23,111,299,269,62,5,21,4,15,4,69,9,4,0.279,0.331,0.61,2.85,3.00,2015
岡　大海,日本ハム,0.236,101,294,259,61,4,26,18,17,7,64,10,8,0.299,0.336,0.635,3.35,3.35,2015
大和,阪神,0.225,123,293,249,56,0,12,5,12,4,35,28,2,0.272,0.245,0.517,1.83,1.85,2015
伊藤　光,オリックス,0.271,104,290,247,67,1,28,0,29,1,53,11,4,0.348,0.328,0.676,4.10,4.07,2015
會澤　翼,広島,0.246,93,290,252,62,6,30,0,26,7,49,2,9,0.33,0.369,0.699,3.96,4.06,2015
聖澤　諒,楽天,0.252,86,288,258,65,0,12,15,23,2,68,4,4,0.317,0.314,0.631,3.56,3.52,2015
脇谷　亮太,西武,0.294,118,272,235,69,3,22,4,27,1,47,8,3,0.367,0.396,0.763,5.37,5.19,2015
倉本　寿彦,DeNA,0.208,102,265,245,51,2,20,0,10,2,60,7,8,0.244,0.249,0.493,1.43,1.55,2015
アンダーソン,巨人,0.252,83,260,234,59,7,31,1,21,5,37,0,5,0.327,0.402,0.729,4.54,4.46,2015
森野　将彦,中日,0.262,82,252,206,54,0,10,2,37,3,38,3,0,0.378,0.301,0.678,5.03,5.11,2015
井口　資仁,ロッテ,0.247,87,250,227,56,6,28,1,21,2,65,0,4,0.316,0.41,0.726,4.52,4.40,2015
シアーホルツ,広島,0.25,65,248,232,58,10,30,3,14,2,67,0,0,0.298,0.435,0.734,4.70,4.68,2015
カラバイヨ,オリックス,0.252,64,247,222,56,12,35,0,17,5,63,0,3,0.316,0.455,0.771,4.98,5.15,2015
ヘルマン,オリックス,0.267,73,245,221,59,1,15,17,24,0,40,0,7,0.339,0.326,0.665,4.19,4.08,2015
比屋根　渉,ヤクルト,0.23,84,240,209,48,3,9,6,17,4,38,10,2,0.3,0.301,0.601,3.14,3.18,2015
荒木　雅博,中日,0.251,97,238,211,53,0,13,9,20,0,31,6,1,0.315,0.299,0.613,3.70,3.65,2015
鈴木　誠也,広島,0.275,97,238,211,58,5,25,6,16,2,38,7,3,0.329,0.403,0.732,4.25,4.31,2015
石原　慶幸,広島,0.241,83,238,216,52,2,12,1,14,0,42,8,10,0.287,0.296,0.583,2.33,2.30,2015
上田　剛史,ヤクルト,0.263,82,238,209,55,1,19,8,14,2,29,11,5,0.313,0.306,0.619,3.34,3.40,2015
白崎　浩之,DeNA,0.225,81,238,204,46,6,9,2,11,1,45,22,1,0.269,0.368,0.636,2.92,2.96,2015
和田　一浩,中日,0.298,79,234,218,65,5,26,1,14,2,40,0,9,0.346,0.404,0.75,4.69,4.53,2015
サンチェス,楽天,0.226,66,232,199,45,7,18,3,27,4,40,0,4,0.328,0.392,0.72,4.42,4.54,2015
松山　竜平,広島,0.277,100,229,202,56,7,26,1,23,1,30,0,8,0.349,0.446,0.795,5.15,5.17,2015
デニング,ヤクルト,0.222,64,227,194,43,4,22,0,23,8,43,0,2,0.326,0.345,0.671,4.07,4.17,2015
西野　真弘,オリックス,0.304,57,213,191,58,3,22,9,18,2,25,2,0,0.37,0.403,0.773,6.12,5.89,2015
福田　将儀,楽天,0.216,67,210,185,40,1,12,5,13,3,45,8,2,0.277,0.27,0.547,1.98,2.11,2015
嶺井　博希,DeNA,0.237,74,208,186,44,5,26,0,12,5,46,3,2,0.298,0.371,0.669,3.83,3.94,2015
荒波　翔,DeNA,0.298,70,207,188,56,4,14,4,16,1,26,1,2,0.354,0.463,0.817,5.93,5.68,2015
中川　大志,楽天,0.235,62,206,187,44,5,21,2,12,4,60,1,6,0.293,0.358,0.651,3.25,3.38,2015
小谷野　栄一,オリックス,0.295,56,206,183,54,4,22,0,13,3,22,5,7,0.348,0.41,0.758,4.64,4.56,2015
岡田　幸文,ロッテ,0.245,112,205,188,46,0,13,11,8,2,22,7,0,0.283,0.287,0.57,3.08,3.06,2015
