player,team,ERA,G,W,L,SV,HLD,WPCT,BF,IP,HA,HRA,BB,HBP,SO,R,ER,WHIP,DIPS,year
涌井　秀章,ロッテ,3.39,28,15,9,0,0,0.625,786,188.2,178,11,57,8,117,79,71,1.25,3.67,2015
美馬　学,楽天,3.44,16,3,7,0,0,0.3,380,86.1,102,9,21,1,62,45,33,1.42,3.77,2015
寺原　隼人,ソフトバンク,3.44,21,8,3,0,2,0.727,332,83.2,71,11,19,3,58,32,32,1.08,4.23,2015
松岡　健一,ヤクルト,3.44,38,2,0,1,4,1.0,152,36.2,31,1,15,4,31,14,14,1.25,3.34,2015
帆足　和幸,ソフトバンク,3.44,3,1,0,0,0,1.0,75,18.1,21,2,3,0,12,7,7,1.31,3.72,2015
今村　猛,広島,3.46,21,1,1,0,1,0.5,115,26.0,24,1,13,0,22,14,10,1.42,3.43,2015
飯田　優也,ソフトバンク,3.48,35,0,1,0,4,0.0,176,41.1,30,3,22,1,44,16,16,1.26,3.46,2015
メンドーサ,日本ハム,3.51,26,10,8,0,1,0.556,626,148.2,134,8,62,8,85,63,58,1.32,4.07,2015
岩崎　優,阪神,3.51,15,3,10,0,0,0.231,326,77.0,74,7,19,5,57,39,30,1.21,3.72,2015
高橋　聡文,中日,3.51,35,3,3,0,6,0.5,109,25.2,27,1,2,1,26,13,10,1.13,1.95,2015
十亀　剣,西武,3.55,26,11,7,0,0,0.611,644,152.0,145,19,53,8,107,62,60,1.30,4.54,2015
福井　優也,広島,3.56,21,9,6,0,0,0.6,541,131.1,106,10,53,5,99,53,52,1.21,3.93,2015
塩見　貴洋,楽天,3.56,16,3,5,0,0,0.375,392,96.0,87,14,15,3,78,42,38,1.06,3.95,2015
徳山　武陽,ヤクルト,3.58,39,2,1,0,3,0.667,217,50.1,48,4,22,0,50,25,20,1.39,3.42,2015
矢貫　俊之,日本ハム,3.60,9,0,0,0,0,0.0,60,15.0,15,1,4,0,11,6,6,1.27,3.32,2015
戸田　隆矢,広島,3.63,34,3,3,0,5,0.5,273,62.0,59,4,29,0,44,31,25,1.42,3.94,2015
バスケス,西武,3.63,34,3,1,0,9,0.75,161,34.2,40,0,21,3,21,15,14,1.76,3.73,2015
石山　泰稚,ヤクルト,3.64,21,5,5,0,0,0.5,479,111.1,118,7,38,2,78,50,45,1.40,3.59,2015
牧田　和久,西武,3.66,34,9,11,3,0,0.45,596,137.2,143,7,44,11,66,68,56,1.36,3.98,2015
西川　健太郎,中日,3.68,6,1,0,0,0,1.0,33,7.1,7,0,6,0,6,3,3,1.77,3.94,2015
高梨　裕稔,日本ハム,3.68,2,0,1,0,0,0.0,31,7.1,5,1,3,1,7,5,3,1.09,4.62,2015
岩本　輝,阪神,3.69,13,2,1,0,0,0.667,144,31.2,37,1,15,1,20,13,13,1.64,3.78,2015
能見　篤史,阪神,3.72,27,11,13,0,0,0.458,672,159.2,170,13,38,2,125,73,66,1.30,3.35,2015
松永　昂大,ロッテ,3.72,41,0,0,0,13,0.0,123,29.0,24,3,13,4,24,13,12,1.28,4.57,2015
スタンリッジ,ソフトバンク,3.74,23,10,7,0,0,0.588,617,144.1,150,12,44,8,81,64,60,1.34,4.16,2015
菊池　保則,楽天,3.76,18,4,5,0,0,0.444,448,103.0,96,5,42,5,71,47,43,1.34,3.74,2015
香月　良太,巨人,3.77,14,0,0,0,0,0.0,58,14.1,14,2,2,0,5,9,6,1.12,4.65,2015
小林　寛,DeNA,3.77,11,0,0,0,1,0.0,64,14.1,13,0,10,0,11,6,6,1.60,3.47,2015
雄太,中日,3.78,3,0,2,0,0,0.0,69,16.2,16,1,4,0,8,7,7,1.20,3.66,2015
レイ,楽天,3.79,22,5,7,0,2,0.417,461,107.0,107,14,31,7,76,50,45,1.29,4.47,2015
藤岡　貴裕,ロッテ,3.79,31,2,2,0,6,0.5,234,54.2,51,4,20,4,52,25,23,1.30,3.38,2015
ネイラー,中日,3.81,10,4,3,0,0,0.571,220,52.0,48,5,19,4,41,22,22,1.29,4.12,2015
吉川　光夫,日本ハム,3.84,26,11,8,0,0,0.579,684,159.1,151,16,57,11,93,72,68,1.31,4.54,2015
戸村　健次,楽天,3.84,37,7,11,0,1,0.389,572,131.1,152,7,40,4,78,68,56,1.46,3.63,2015
イ・デウン,ロッテ,3.84,37,9,9,0,4,0.5,536,119.2,121,11,63,3,106,63,51,1.54,4.15,2015
須田　幸太,DeNA,3.86,29,3,2,1,3,0.6,241,56.0,59,10,23,0,42,26,24,1.46,5.12,2015
益田　直也,ロッテ,3.91,51,3,2,0,11,0.6,227,53.0,48,2,21,2,42,23,23,1.30,3.27,2015
山井　大介,中日,3.92,33,4,12,2,5,0.25,589,140.0,132,13,50,2,79,69,61,1.30,4.27,2015
八木　智哉,中日,3.92,14,4,6,0,0,0.4,257,59.2,63,10,22,2,45,30,26,1.42,5.00,2015
杉内　俊哉,巨人,3.95,17,6,6,0,0,0.5,401,95.2,88,9,35,3,93,42,42,1.29,3.59,2015
武藤　祐太,中日,3.95,8,2,3,0,0,0.4,120,27.1,31,2,12,0,10,14,12,1.57,4.66,2015
金子　丈,中日,3.95,10,0,0,0,0,0.0,58,13.2,17,0,1,1,12,6,6,1.32,1.80,2015
屋宜　照悟,日本ハム,3.96,18,2,0,0,1,1.0,104,25.0,24,3,6,1,11,15,11,1.20,4.64,2015
大原　慎司,DeNA,4.02,21,0,1,0,6,0.0,65,15.2,16,3,2,1,13,7,7,1.15,4.52,2015
小山　雄輝,巨人,4.02,7,0,1,1,2,0.0,68,15.2,18,2,7,0,10,7,7,1.60,4.84,2015
福谷　浩司,中日,4.05,42,3,4,19,4,0.429,176,40.0,38,3,20,3,25,19,18,1.45,4.57,2015
平野　佳寿,オリックス,4.06,33,0,3,12,10,0.0,136,31.0,29,4,14,1,39,14,14,1.39,3.73,2015
小熊　凌祐,中日,4.07,13,1,1,0,1,0.5,183,42.0,39,6,17,2,24,21,19,1.33,5.19,2015
久保　康友,DeNA,4.12,21,8,7,0,0,0.533,523,122.1,130,16,27,5,88,64,56,1.28,4.17,2015
三浦　大輔,DeNA,4.13,17,6,6,0,0,0.5,416,98.0,103,9,25,1,62,47,45,1.31,3.84,2015
一岡　竜司,広島,4.14,38,2,4,1,7,0.333,176,37.0,42,5,21,1,35,21,17,1.70,4.77,2015
中村　勝,日本ハム,4.17,10,2,4,0,0,0.333,218,49.2,41,5,33,3,26,23,23,1.49,5.56,2015
上沢　直之,日本ハム,4.18,13,5,6,0,0,0.455,335,75.1,75,6,30,5,43,41,35,1.39,4.41,2015
入野　貴大,楽天,4.18,19,1,1,0,1,0.5,127,28.0,32,5,13,0,24,16,13,1.61,5.01,2015
嘉弥真　新也,ソフトバンク,4.20,16,0,0,0,1,0.0,63,15.0,14,2,5,1,14,7,7,1.27,4.19,2015
野上　亮磨,西武,4.22,27,7,7,0,0,0.5,565,134.1,127,15,46,4,77,68,63,1.29,4.54,2015
山本　翔也,阪神,4.22,7,1,0,0,0,1.0,46,10.2,11,0,3,0,10,5,5,1.31,2.09,2015
ルブラン,西武,4.23,8,2,5,0,0,0.286,196,44.2,43,6,18,2,26,26,21,1.37,4.98,2015
松葉　貴大,オリックス,4.28,18,3,6,0,0,0.333,360,80.0,81,8,47,1,42,42,38,1.60,5.17,2015
サンティアゴ,阪神,4.32,3,1,0,0,0,1.0,76,16.2,20,2,7,0,7,8,8,1.62,5.10,2015
小杉　陽太,DeNA,4.33,27,3,3,0,2,0.5,164,35.1,37,3,20,1,27,21,17,1.61,4.48,2015
岡本　洋介,西武,4.35,42,1,2,0,6,0.333,284,68.1,62,12,20,6,43,34,33,1.20,5.24,2015
岩貞　祐太,阪神,4.35,5,1,1,0,0,0.5,95,20.2,24,2,11,2,11,12,10,1.69,5.20,2015
武藤　好貴,楽天,4.39,60,4,4,1,8,0.5,316,69.2,83,5,29,5,38,35,34,1.61,4.43,2015
秋山　拓巳,阪神,4.40,3,0,1,0,0,0.0,58,14.1,14,0,3,0,9,7,7,1.19,2.49,2015
古谷　拓哉,ロッテ,4.42,11,3,4,0,0,0.429,235,53.0,50,7,28,3,39,27,26,1.47,5.12,2015
山口　俊,DeNA,4.49,20,3,6,0,0,0.333,508,114.1,127,13,42,3,119,67,57,1.48,3.70,2015
阿部　和成,ロッテ,4.50,14,1,1,0,0,0.5,89,20.0,26,3,8,0,11,10,10,1.70,5.17,2015
九里　亜蓮,広島,4.50,7,0,1,0,1,0.0,75,16.0,19,3,7,1,10,10,8,1.63,5.81,2015
岩田　慎司,中日,4.50,3,0,2,0,0,0.0,71,16.0,17,1,8,1,7,8,8,1.56,4.56,2015
矢地　健人,ロッテ,4.50,10,0,0,0,1,0.0,54,12.0,16,2,2,1,11,6,6,1.50,4.20,2015
金刃　憲人,楽天,4.50,19,2,2,0,6,0.5,51,10.0,11,0,9,3,5,5,5,2.00,5.12,2015
